"Player_no","PLAYER_BET_NUMBER","BET_PLACED_DATE","OVER_1000_SEK","EVENT_NAME","LEAGUE","BET_OFFER_TYPE","CRITERIA_NAME","IS_LIVE","BET_LABEL","ODDS","BET_OUTCOME"
1,1,2022-07-09 13:18:36,"YES","IF Brommapojkarna - Dalkurd FF","Superettan","Over Under","Total Goals - {0}:00-{1}:59 2.5","Y","Over",3,"Bet Lost"
2,1,2022-07-05 11:08:05,"YES","Halmstads BK - Jonkopings Sodra IF","Superettan","Double Chance","Double Chance","N","X2",2.95,"Bet Lost"
3,1,2022-07-05 18:33:15,"YES","Halmstads BK - Jonkopings Sodra IF","Superettan","Asian Handicap","Asian Handicap -1","N","Halmstads BK",1.65,"Bet Won"
3,2,2022-07-09 23:08:32,"YES","Jonkopings Sodra IF - Ostersunds FK","Superettan","Three way 1x2","Full Time","N","Jonkopings Sodra IF",1.95,"Bet Won"
4,1,2022-07-10 18:11:43,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","Y","IK Sirius FK",2.32,"Bet Won"
4,2,2022-07-10 18:32:50,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","Y","Kalmar FF",1.94,"Bet Lost"
5,1,2022-07-09 18:05:39,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Three way 1x2","Half Time","Y","IFK Norrkoping",1.1,"Bet Won"
6,1,2022-07-10 17:59:18,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","Y","Kalmar FF",2.9,"Bet Lost"
7,1,2022-07-09 14:55:34,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Three Way Handicap","3-Way Handicap -1","N","Malmo FF",1.73,"Bet Won"
8,1,2022-07-09 19:10:08,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Three way 1x2","Full Time","Y","IFK Norrkoping",1.16,"Bet Lost"
9,1,2022-07-10 09:00:36,"YES","Jonkopings Sodra IF - Ostersunds FK","Superettan","Three way 1x2","Full Time","N","Jonkopings Sodra IF",1.83,"Bet Won"
10,1,2022-07-09 14:17:08,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Three way 1x2","Full Time","N","Malmo FF",1.3,"Bet Won"
11,1,2022-07-10 14:44:32,"YES","IF Elfsborg - AIK","Allsvenskan","Three way 1x2","Full Time","N","IF Elfsborg",2.15,"Bet Lost"
12,1,2022-07-10 15:27:46,"YES","Utsiktens BK - Osters IF","Superettan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Osters IF",2.15,"Bet Lost"
12,2,2022-07-10 17:02:09,"YES","Skovde AIK - Orgryte IS","Superettan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Skovde AIK",1.72,"Bet Won"
12,3,2022-07-10 17:56:08,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Kalmar FF",1.55,"Bet Lost"
12,4,2022-07-10 18:58:51,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Kalmar FF",1.84,"Bet Lost"
13,1,2022-07-10 14:56:38,"YES","IF Elfsborg - AIK","Allsvenskan","Double Chance","Double Chance","N","X2",1.76,"Bet Won"
13,2,2022-07-10 19:10:11,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","Y","Kalmar FF",2.3,"Bet Lost"
14,1,2022-07-10 16:58:25,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","N","IK Sirius FK",5.25,"Bet Lost"
14,2,2022-07-10 18:13:19,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Next Occurrence Number Draw No Bet","Next Goal, No Goal No Bet ({0})","Y","IK Sirius FK",3.3,"Bet Lost"
14,3,2022-07-10 18:26:48,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","IK Sirius FK",3.6,"Bet Lost"
